"id","rest_id","restaurant","address1","phone1","notes","neighborhood"
1,1,"12TH AVE GRILL","1120 12th Ave., Kaimuki","732-9469","Dinner","Greater Honolulu"
2,4,"AGU A RAMEN BISTRO","925 Isenberg St. (across from Old Stadium Park)","492-1637","Lunch, dinner, late night","Greater Honolulu"
3,6,"ALICIA'S MARKET","267 Mokauea St.","841-1921","Lunch, dinner","Greater Honolulu"
4,7,"ALLEY RESTAURANT, THE AT AIEA BOWL)","99-115 Aiea Heights Drive","488-6854","Breakfast, lunch, dinner, late night","Leeward Oahu"
5,8,"ANDY'S SANDWICHES & SMOOTHIES","2904 E. Manoa Road","988-6161","Breakfast, lunch","Greater Honolulu"
6,9,"ARANCINO KAHALA","Kahala Hotel & Resort, 5000 Kahala Ave.","380-4400","Lunch, dinner","East Honolulu"
7,10,"ASSAGGIO","Ala Moana Center","942-3446","Lunch, dinner","Multiple Locations"
8,10,"ASSAGGIO","Koko Marina Center, Hawaii Kai","396-0756","Lunch, dinner","Multiple Locations"
9,10,"ASSAGGIO","Town Center of Mililani","623-5115","Lunch, dinner","Multiple Locations"
10,10,"ASSAGGIO","4346 Waialae Ave., Kahala, "," 732-1011","Lunch, dinner","Multiple Locations"
11,10,"ASSAGGIO","354 Uluniu St., Kailua","261-2772","Lunch, dinner","Multiple Locations"
12,10,"ASSAGGIO","777 Kamokila Blvd., Kapolei"," 674-8801","Lunch, dinner","Multiple Locations"
13,11,"ASUKA NABE + SHABU SHABU","3620 Waialae Ave., Kaimuki","735-6666","Dinner","Greater Honolulu"
14,12,"AZURE","The Royal Hawaiian hotel, 2259 Kalakaua Ave., Waikiki","923-7311","Dinner","Waikiki"
15,13,"BACI BISTRO","30 Aulike St., Kailua","262-7555","Lunch (weekdays), dinner","East Honolulu"
16,14,"BANZAI SUSHI BAR","North Shore Marketplace, 66-246 Kamehameha Highway, Haleiwa","637-4404","Lunch, dinner","North Shore"
17,15,"BEACHHOUSE AT THE MOANA","Moana Surfrider, 2365 Kalakaua Ave., Waikiki","921-4600","Dinner","Waikiki"
18,16,"BERNINI HONOLULU","1218 Waimanu St.","591-8400","Dinner (closed Mondays)","Greater Honolulu"
19,17,"BEVY","661 Auahi St","594-7445","Dinner","Greater Honolulu"
20,18,"BILLS SYDNEY","280 Beachwalk Ave., Waikiki","922-1500","Breakfast, lunch, dinner","Waikiki"
21,19,"BLT STEAK","Trump International Hotel, 223 Saratoga Road, Waikiki","683-7440","Dinner","Waikiki"
23,20,"BOGART'S CAFE","3045 Monsarrat Ave., Kapahulu","739-0999","Breakfast, lunch (cash only)","Greater Honolulu"
