"id","restaurant","Review","Price","web","Writer","VisitDate"
1,"12TH AVE GRILL","The food here personifies a masculinity that's comfortable with its feminine side. So you get rustic but also sophisticated. Bold yet balanced. It can take a very long time to order ... you have to study the entire description of each dish, otherwise you could simply absorb the title of ""grilled pork chop"" and miss the part that says ""slow-baked chutney-stuffed apple."" The sides are never mere supporting acts. Consider Shinsato Farm Pork Belly Confit, served with wilted dandelion greens, a poached egg yolk and ""Maui dark rum and pineapple lacquer."" Even without knowing what pineapple lacquer is, wouldn't the sum of those parts be ridiculously awesome?","$$$","www.12thavegrill.com",,
2,"3660 ON THE RISE","As an 'Ilima award winner for 10 years or more, this restaurant Is in the Star Circle for perpetual awards.","$$$","www.3660.com",,
3,"678 HAWAII","The dishes here aren't much more expensive than other Korean contenders on the nearby Keeaumoku Street corridor. It stands out from the rest with its well-directed décor and constant, bustling energy. Patrons are drawn by the star power f owner Kang Ho Dong, a popular Korean comedian, as well as the Black Cold Noodle and U.S. Kobe-style beef raised without hormones or antibiotics - not to mention the late-night happy hour","$$-$$$",,,
4,"AGU A RAMEN BISTRO","This restaurant opened with a streamlined ramen menu, but chef Hisashi ""Teddy"" Uehara's ambition didn't end there. He's a perfectionist, and there were days early on when he refused to serve his tonkotsu or Jidori chicken ramen when he felt the broth - using pork or chicken bones boiled down over 18 hours - was not up to snuff. When he was satisfied with the consistency of his ramen, he moved to pupu ranging from Jidori kawa (deep-fried Jidori chicken skin); tebichi (Okinawan-style pork feet); pork cheek croquettes; and Jidori nanban, a chicken-and-egg specialty comprising tender Miyazaki-style fried chicken topped with homemade tartar sauce incorporating chunks of hard-boiled egg. Even so, ramen continues to be the star of the menu, dividing diners into two camps: those who prefer the lightness of the chicken broth, or those who enjoy the thick richness of tonkotsu broth. Both styles skew satisfyingly toward their respective extremes of lightness and heft. But, as if the basic tonkotsu wasn't rich enough, Uehara kept tweaking and adding until he ended up with (so far) the ultimate bowl of ramen, the Innovative Hot Mess, a kitchen-sink creation incorporating fresh garlic, black garlic oil, garlic butter, Parmesan cheese and more. (See my pick for favorite food, Page 40.) The downside of popularity is waiting for a table, but the search is on for a second Agu location.","$$","www.aguramen.com",,
5,"ALAN WONG'S","As an 'Ilima award winner for 10 years or more, this restaurant Is in the Star Circle for perpetual awards.","$$$$","www.alanwongs.com",,
6,"ALICIA'S MARKET","Leonard Kam, son of the beloved Alicia, grew up at the market - when asked how long he's been mixing poke, his reply is ""since the '70s."" His experience shows. He offers more than 50 varieties of the food stuff that made Alicia's legendary, including a long lineup of spicy poke that he developed this year. Among the most popular are spicy ahi (of course), king crab and salmon. Another new big seller is lomi oio, a combo of scraped bonefish, salmon chunks, dried shrimp, tomato and onion. Other classic items at this grocery/plate-lunch venue: Chinese-style roast pork belly with crispy skin, and new classics of smoked prime rib and brisket meats.","$","www.aliciashawaii.com",,
7,"ALLEY RESTAURANT, (THE AT AIEA BOWL)","This bustling bowling alley restaurant continues to deliver top-notch versions of local favorites, made from scratch, not to mention decadent desserts that have secured their place in the hearts of dessert fans islewide. Flavorful deep-fried pork chops, a customer favorite, strike the perfect balance of crisp crust and moist chops, while Tasty Chicken, boneless fried pieces dipped in a secret Tasty Sauce, delivers sweet-spicy-garlicky flavor and a winning crunch. Also to die for: Hamburger steak served with homemade gravy, oxtail soup served with ponzu sauce, and such beloved desserts as Lemon Crunch Cake, Pumpkin Crunch Cake, Chocolate Insanity Cake and gourmet cupcakes.","$-$$","www.aieabowl.com",,
8,"ANDY'S SANDWICHES & SMOOTHIES","Let us count the many ways we love this longtime Manoa venue, which offers much more than its name implies. Start the day with the popular ""everything"" omelette, for instance, filled with bacon, mushroom, spinach and cheese. Or if you've got a sweet tooth, partake of whole-wheat, banana or blueberry pancakes. For lunch, a classic combo of turkey, avocado, tomato and cheese is all the rage, the turkey being especially fabulous because it's roasted fresh every day. A hot turkey version served with mushrooms is also hot with customers, as well as a smoked ahi melt that's melted hearts. As far as hit smoothies go, Norma Rodrigues, wife of Andy, says ""they're all popular!"" A tease of the lineup: Strawberries n Creme, made with coconut milk; a Triple of apple juice mixed with strawberries, banana and papaya; pitaya (dragon fruit); mango and guava.","$","www.andyssandwiches.com",,
9,"ARANCINO KAHALA","After a year at the Kahala Hotel & Resort, this exquisite ""hybrid Italian"" fine-dining restaurant (so labeled by its executive chef, Daisuke Hamamoto) continues to bring fresh ideas to the plate, delivered with perfectly balanced flavors and beautiful presentations. A few highlights: tagliatelle ai frutti di mare comprising tiger shrimp, scallops and house-made tagliatelle pasta tossed in lemon, garlic, white-wine truffle oil; casarecce ragu di polpo, a dish of octopus and casarecce pasta served with spicy garlic tomato sauce; tagliatelle con orecchiette di mare with Kona abalone and house-made tagliatelle tossed in an abalone bouillon garlic cream sauce; and, to celebrate its first anniversary, a 5-ounce A5 Miyazaki wagyu steak, the highest-quality beef in Japan and rare to Hawaii. The dish is lavender-infused and prepared sous vide, then served with petite potatoes and onion petals. The extensive wine list offers 100 wines from Italy and the Pacific Rim. Also recommended: Arancino's brick-oven pizzas.","$$$$","www.arancino.com/ arancino-kahala",,
10,"ASSAGGIO","Hot, made-to-order pastas and savory meat and seafood dishes inspired by southern Italy are the draw here, consistent across all six restaurants in the chain. Neighborhood rapport adds to the allure for family gatherings, dates and parties. Choose from many pasta preparations (puttanesca, marsala, piccata, pomodori, to name a few) and proteins (veal, shrimp, chicken, clams, calamari, sausage, etc.) for mouth-watering creations such as the garlicky Chicken Olio Anchovy, bacon-laced fresh clams casino and Chicken Alla Sorrentino (layered with eggplant and mozzarella, with a mushroom marsala wine butter sauce). Start with the Caesar salad, everyone's favorite, made tableside from scratch with anchovies, egg yolks and Parmesan.","$$$","www.assaggiohawaii.com",,
